Rownames,Compartment,group,FDR,Significant,n,Genes
544,mitochondrial endopeptidase Clp complex,"Cytoplasm, Mitochondrion",0,TRUE,1,Q9JHS4
545,mitochondrial envelope,"Cytoplasm, Mitochondrion",0,TRUE,10,"O55003,O35465,P50171,P12242,Q9JK48,Q9D3D9,Q9CXV1,Q9DCC8,Q9DC29,Q9DBG1"
546,mitochondrial fatty acid beta-oxidation multienzyme complex,"Cytoplasm, Mitochondrion",0,TRUE,2,"Q8BMS1,Q99JY0"
547,mitochondrial inner membrane,"Cytoplasm, Mitochondrion",0,TRUE,294,"Q61102,P50544,Q9WTP6,P47740,P48962,P51881,Q03265,P56480,Q8C2Q8,Q9CQQ7,Q9CR84,P97450,Q06185,O35129,Q6P3A8,P30275,Q06890,P16330,P97478,P19783,P12787,P43024,P43023,Q9CPQ1,P56392,P48771,P17665,P36552,P97742,P52825,P47934,Q05421,P42125,Q8JZU2,O08600,Q99JR1,Q61578,Q91Z67,Q64521,P26443,P05202,Q61586,Q61425,Q99N15,P53702,P38060,P63038,P16125,P08249,P19258,P00397,P00405,P00416,P00158,P03888,P03893,P03899,P03911,P03921,Q9CQ75,Q62425,Q9CXZ1,Q91YT0,Q9WVD5,P67778,Q8VEM8,G5E902,P51175,Q9WU79,Q61144,P55096,Q61387,O55042,P09671,P05480,P42227,Q9Z0V7,O35857,P52196,P12242,P56501,Q9CQ69,Q9CZ13,Q60932,Q60930,Q60931,Q60714,O88986,Q9Z0X1,P62908,O70571,Q9QZD8,O88967,Q9D8P4,Q8K440,Q9CPQ8,P62075,Q9WV98,Q9QXX4,Q9CXI0,Q9D2R6,Q8BWT1,Q99L04,Q7TNG8,A2AFK4,Q5SUC9,Q9QYA2,O35683,P63030,Q9CWU6,Q9JI39,Q9JLR9,Q9CQ85,Q9Z2I0,Q9JJG9,Q791V5,Q9WUM5,Q9Z110,Q91VS7,Q9JIA7,O35435,Q9Z2Z6,P56135,Q9R112,Q8R104,Q9D3D9,Q9CQH3,Q9CZB0,Q9CRB9,Q9CQ91,Q91VC9,Q91VN4,Q9DC69,P59041,Q8R1I1,Q9CQN6,Q9CQJ8,Q9D8Y1,Q9CR63,D3Z7Q2,P58059,Q8BPE4,Q9D7J4,Q7TMF3,Q9Z1P6,Q9CQX2,Q9D0M3,Q9CQV1,Q66GT5,Q78IK2,Q9CQZ6,Q9D880,P99028,Q80ZM8,Q99JB2,Q9CPX8,Q3URS9,Q9CR68,Q9JKL4,Q9CZP5,Q91WF0,Q921G7,Q9DC61,Q9CR61,Q9CXV1,Q9CQ00,Q8K2B3,Q9DB77,Q9D8H7,P60603,P56382,Q9CQZ5,Q9ERS2,Q922Q1,Q9D6J5,Q9CQY6,Q9DAM5,Q811U4,Q9CQA3,Q9CQV7,Q9CR62,Q9CRB8,Q8K1Z0,Q9CQN1,Q9CRA7,Q8BHE8,Q78IK4,Q9CQC7,Q9CQ54,Q9CPU2,Q9CPP6,Q9D6M3,Q9DCZ4,Q9DCS9,Q8K2C6,Q9DCT2,Q9DCJ5,Q924L1,Q8R0F8,Q8BGH2,Q8BGA9,Q5F285,A2APY7,Q8JZQ2,Q8BGX2,Q6P8I6,Q8BMG8,Q9ESW4,Q9JIZ9,Q921N7,Q9D023,Q3TZX3,Q9DCX2,Q80XN0,Q5SWT3,Q99MR8,Q9D0L4,Q8CC21,Q9D6J6,Q9CXT8,Q8R0Y8,Q8C0K5,Q3V132,Q8R0G7,P58281,Q9CXJ4,Q4VAE3,Q8R216,Q9DC70,Q3UUI3,Q9CXD6,Q9DCM2,Q8CAQ8,E9Q800,E9QAY6,Q6P8J7,A2AIL4,Q8BK30,Q3U422,Q8BH59,Q91W29,Q8BMS1,Q9DBG1,O09111,Q99KR7,Q9CZN7,Q8CEE7,Q925I1,Q8BW75,Q9DCN2,P56391,Q8QZT1,Q920A7,Q8C163,Q8R2R6,Q8BL03,Q8JZN7,Q3UMR5,Q8BK08,Q8R1S0,Q9CPQ3,Q8R404,Q8K3J1,Q8BJ03,Q91WD5,Q91VD9,Q8BGB8,Q8JZN5,Q8BGF9,Q91W50,Q8BMD8,Q8BMS4,Q3UIU2,Q5HZI9,Q5U458,Q99JY0,Q8C3X4,Q8BFR5,Q8VIK2,Q3ULF4,Q3TQB2,P54071,Q60759,Q9JHS4,Q8BGP6,Q8BSF4,Q5NCE8,Q5XJY4,A2ADF7,P52503,Q99LY9,O70325,Q8VCL2,P0DJE0"
548,mitochondrial inner-outer membrane contact site,"Cytoplasm, Mitochondrion",0,TRUE,1,P30275
549,mitochondrial intermembrane space,"Cytoplasm, Mitochondrion",0,TRUE,49,"Q9WTP6,P09242,O08529,P24270,Q9WU84,P56394,P36552,P62897,P00015,Q9D1L0,Q61576,P27773,P25911,Q60649,O55042,P08228,P97930,O35387,Q9Z0X1,P62075,Q8C1A5,Q9WTP7,Q9D0J4,Q8BG60,Q99LX0,Q9JIY5,Q99JB2,Q9CR61,Q9CQY6,Q8BGD8,Q9CQN1,Q8K0C8,Q8K2C6,Q9DCJ5,Q8BGX2,Q921H9,Q9ESW4,Q8BQU3,Q8K1R3,P58281,Q91YP2,Q8CAQ8,E9Q800,E9QAY6,Q9QUH0,Q7TNL9,Q9CZN7,Q8R086,Q91VD9"
550,mitochondrial intermembrane space protein transporter complex,"Cytoplasm, Mitochondrion",0,TRUE,2,"P62075,Q9WV98"
551,mitochondrial large ribosomal subunit,"Cytoplasm, Mitochondrion, Ribosome",0,TRUE,57,"Q9Z2Q5,Q9CQ40,O35972,Q9JKF7,Q9CPR5,Q9D8P4,Q9D773,Q8VDT9,E9QPQ8,Q8JZS9,A0A140LHT6,Q921S7,Q9DB15,Q9D338,Q9D0G0,Q8K2M0,Q9CPW3,Q9DCU6,Q9CQL6,Q9CQF0,Q9CQL4,Q9CPY1,Q9CQP0,Q9D0Q7,Q9CZ83,Q9CPV3,Q9EQI8,Q9CQL5,Q9CQ06,Q9CQF8,Q9D1I6,Q9D1H8,Q9D1P0,Q99N85,Q8R035,Q9D1B9,Q9D0Y8,Q9CY73,Q8BVN4,Q9CR21,Q9CZ57,Q8K2Y7,Q9DCI9,Q99N94,Q99N96,Q99N95,Q99N93,Q99N92,Q99N91,Q5RL20,Q3TBW2,Q9CQN7,Q9D7N6,Q8BU88,Q8VIK2,Q8BGV8,Q9D1N9"
552,mitochondrial matrix,"Cytoplasm, Mitochondrion",0,TRUE,103,"A0A0R4J083,P51174,P45952,Q07417,Q9WUR9,Q8VC19,P47738,Q8R5L1,Q9CZU6,P46656,Q99KB8,P26443,P50171,Q3TL26,P52760,P63038,P38647,Q64433,P97287,P08249,Q99LP6,P16332,Q9Z1J3,P29758,P35700,P35821,O55042,P09671,Q91YM4,P40630,O35857,P97930,P62908,Q9CXI0,Q3U2U7,Q8BWT1,A2AFK4,O88696,Q9WTP7,Q9JHI5,Q9R0X4,Q99J39,Q99LX0,Q8R104,Q9ER88,Q9DC69,Q9D7P6,Q9CZR8,Q9D6Z0,Q9CQV1,Q9CQR4,Q99MN9,Q9CQY6,Q91VA6,Q9CQF4,Q9CQN1,Q8BHE8,Q8K2C6,Q5SSK3,Q99NB1,Q8K411,Q91V12,A6H611,Q9CYK1,Q9DBL7,Q8C2E4,Q80X68,Q99MR8,Q80Y14,Q8CGK3,Q8BKY8,Q8R216,Q9DA03,Q922E6,Q9DCM2,Q9D0C4,Q3ULD5,Q99M87,Q99KR7,Q9CZN7,Q920E5,Q8QZT1,Q91ZA3,Q9DCW4,Q99LB7,Q3TIU4,Q99KR3,Q8R2R6,Q499X9,Q8CAK1,Q8BH86,Q8VDP4,Q8JZM0,Q91VT4,B2RXT3,Q8BGV8,P61922,Q9JHS4,Q8BGA8,Q7TSQ8,Q6NVE9,Q8VHQ9,Q80YD1"
553,mitochondrial membrane,"Cytoplasm, Mitochondrion",0,TRUE,68,"A0A0R4J083,P51174,P45952,P50544,Q07417,P09242,P48410,P56480,O08734,Q07813,O55003,P0DP26,P0DP27,P0DP28,P18760,P19783,P98192,Q61586,P10107,P25911,P03888,Q9CQ75,Q01768,Q8R3B1,P51175,P12242,P56501,Q60932,Q60930,Q9QZD8,Q9QUJ7,O35683,Q9JHI5,Q9Z110,Q9DC69,Q9CQN6,Q9CR63,Q80ZM8,Q9CR68,Q91WF0,Q921G7,Q9D8H7,Q9CQZ5,Q9ERS2,Q9CQA3,Q9DCT2,Q9D1H6,Q8BGA9,Q9ESW4,Q8CFY5,Q3TZX3,Q8BUE4,Q8WUR0,Q8K1M6,E9PUD2,P58281,Q9CXJ4,Q9DA03,Q91W29,Q91V61,Q80XL6,Q9D2C7,Q3V384,Q6QD59,Q8VCF0,Q8JZN5,Q3UIU2,Q5H8C4"
