Protein.Group,Markers,markers
P11859,unknown,unknown
P11881,unknown,unknown
P11930,unknown,unknown
P11983,unknown,unknown
P12023,unknown,unknown
P12242,unknown,unknown
P12246,unknown,unknown
P12265,unknown,unknown
P12367,unknown,unknown
P12367;P31324,unknown,unknown
P12382,unknown,unknown
P12382;P47857,unknown,unknown
P12382;P47857;Q9WUA3,unknown,unknown
P12382;Q9WUA3,unknown,unknown
P12787,unknown,unknown
P12815,unknown,unknown
P12970,RCX_1,RCX_1
P13020,unknown,unknown
P13439,unknown,unknown
P13595,unknown,unknown
P13597,CM_1,CM_1
P13634,CYTO_1,CYTO_1
P13707,MITO_2,MITO_2
P13707;Q3ULJ0,unknown,unknown
P14069,unknown,unknown
P14094,CM_1,CM_1
P14106,unknown,unknown
P14115,RCX_1,RCX_1
P14131,RCX_2,RCX_2
P14142,unknown,unknown
P14148,RCX_1,RCX_1
P14152,unknown,unknown
P14206,RCX_2,RCX_2
P14211,ER_1,ER_1
P14231,unknown,unknown
P14434;P14438,unknown,unknown
P14483,unknown,unknown
P14576,unknown,unknown
P14602,unknown,unknown
P14685,unknown,unknown
P14733,NU_1,NU_1
P14733;P21619,unknown,unknown
P14824,unknown,unknown
P14824;P97429,unknown,unknown
P14847,unknown,unknown
P14869,RCX_1,RCX_1
P14873,unknown,unknown
P15089,unknown,unknown
P15105,unknown,unknown
P15116,unknown,unknown
P15208,CM_1,CM_1
P15306,unknown,unknown
P15327,unknown,unknown
P15331,unknown,unknown
P15331;P20152,unknown,unknown
P15379,CM_1,CM_1
P15508,unknown,unknown
P15508;Q62261,unknown,unknown
P15532,unknown,unknown
P15626,unknown,unknown
P15626;Q80W21,unknown,unknown
P15626;Q80W21;Q8R5I6,unknown,unknown
P15626;Q8R5I6,unknown,unknown
P15864,NU_1,NU_1
P15864;P43274;P43275;P43277,unknown,unknown
P15864;P43274;P43277,unknown,unknown
P15864;P43277,unknown,unknown
P16015,CYTO_1,CYTO_1
P16045,unknown,unknown
P16054,unknown,unknown
P16110,unknown,unknown
P16125,unknown,unknown
P16254,unknown,unknown
P16283,CM_1,CM_1
P16294,unknown,unknown
P16330,unknown,unknown
P16332,MITO_2,MITO_2
P16406,CM_1,CM_1
P16460,unknown,unknown
P16546,unknown,unknown
P16627,unknown,unknown
P16627;P17156;P20029;P63017,unknown,unknown
P16627;P17156;P63017,unknown,unknown
P16675,unknown,unknown
P16858,CYTO_1,CYTO_1
P16858;Q64467,unknown,unknown
P17047,unknown,unknown
P17095,NU_1,NU_1
P17156,unknown,unknown
P17156;P63017,unknown,unknown
P17182,unknown,unknown
P17182;P17183,unknown,unknown
P17182;P17183;P21550,unknown,unknown
P17182;P21550,unknown,unknown
P17183,unknown,unknown
P17183;P21550,unknown,unknown
P17225,unknown,unknown
P17225;Q8BHD7,unknown,unknown
P17426,unknown,unknown
P17426;P17427,unknown,unknown
P17427,unknown,unknown
P17439,unknown,unknown
P17563,unknown,unknown
P17665,unknown,unknown
P17710,unknown,unknown
P17742,unknown,unknown
P17751,CYTO_1,CYTO_1
P17809,unknown,unknown
P17897,unknown,unknown
P17918,unknown,unknown
P18052,unknown,unknown
P18181,unknown,unknown
P18242,unknown,unknown
P18528,unknown,unknown
P18572,CM_1,CM_1
P18653,unknown,unknown
P18653;P18654,unknown,unknown
P18653;P18654;Q60592;Q8C0P0,unknown,unknown
P18654,unknown,unknown
P18760,unknown,unknown
P18760;P45591,unknown,unknown
P18826,unknown,unknown
P18872,CM_1,CM_1
P19001,unknown,unknown
P19001;Q61414;Q61781;Q6IFX2;Q9QWL7,unknown,unknown
P19001;Q61414;Q9QWL7,unknown,unknown
P19001;Q61781;Q9QWL7,unknown,unknown
P19096,unknown,unknown
P19123,unknown,unknown
P19157,unknown,unknown
P19221,unknown,unknown
P19253,RCX_1,RCX_1
P19258,unknown,unknown
P19324,unknown,unknown
P19536,unknown,unknown
P19783,MITO_1,MITO_1
P19788,unknown,unknown
P19973,unknown,unknown
P20029,unknown,unknown
P20060,unknown,unknown
P20108,unknown,unknown
P20152,CP_1,CP_1
P20152;P31001,unknown,unknown
P20444,unknown,unknown
P20918,unknown,unknown
P21107,unknown,unknown
P21107;P58771;P58774,unknown,unknown
P21107;P58771;P58774;Q6IRU2,unknown,unknown
P21126,unknown,unknown
P21278,CM_1,CM_1
P21278;P21279,unknown,unknown
P21279,unknown,unknown
P21440;P21447,unknown,unknown
P21447,unknown,unknown
P21460,unknown,unknown
P21550,CYTO_1,CYTO_1
P21614,unknown,unknown
P21619,NU_1,NU_1
P21812,unknown,unknown
P21844,unknown,unknown
P21845,unknown,unknown
P21956,unknown,unknown
P21958,unknown,unknown
P21981,unknown,unknown
P22315,unknown,unknown
P22366,unknown,unknown
P22437,unknown,unknown
P22599,unknown,unknown
P22599;Q00897,unknown,unknown
P22599;Q00897;Q00898,unknown,unknown
P22682,unknown,unknown
P22892,GE_1,GE_1
P22907,unknown,unknown
P23116,unknown,unknown
P23198,unknown,unknown
P23198;P83917,unknown,unknown
P23242,unknown,unknown
P23249,unknown,unknown
P23475,unknown,unknown
P23492,CYTO_1,CYTO_1
P23506,unknown,unknown
P23591,unknown,unknown
P23780,unknown,unknown
P23927,unknown,unknown
P23953,unknown,unknown
P23953;Q8VCT4,unknown,unknown
P24270,unknown,unknown
P24369,unknown,unknown
P24452,unknown,unknown
P24472,unknown,unknown
P24527,unknown,unknown
P24547,unknown,unknown
P24549,unknown,unknown
P24638,unknown,unknown
P24668,GE_1,GE_1
P24788,unknown,unknown
P25444,RCX_2,RCX_2
P25799,unknown,unknown
P25911,unknown,unknown
P26039,CP_1,CP_1
P26039;Q71LX4,unknown,unknown
P26040,unknown,unknown
P26040;P26041;P26043,unknown,unknown
P26040;P26043,unknown,unknown
P26041,unknown,unknown
P26041;P26043,unknown,unknown
P26043,unknown,unknown
P26151,unknown,unknown
P26231,CP_1,CP_1
P26231;Q61301,unknown,unknown
P26231;Q65CL1,unknown,unknown
P26262,unknown,unknown
P26369,unknown,unknown
P26443,unknown,unknown
P26450,unknown,unknown
P26516,PX_1,PX_1
P26618,unknown,unknown
P26638,unknown,unknown
P26645,unknown,unknown
P26883,unknown,unknown
P27046,unknown,unknown
P27546,unknown,unknown
P27601,unknown,unknown
P27612,unknown,unknown
P27641,unknown,unknown
P27659,RCX_1,RCX_1
P27773,ER_1,ER_1
P28063,PX_1,PX_1
P28076,PX_1,PX_1
P28271,unknown,unknown
P28352,unknown,unknown
P28474,unknown,unknown
P28650,unknown,unknown
P28650;P46664,unknown,unknown
P28651,unknown,unknown
P28653,unknown,unknown
P28654,unknown,unknown
P28656,unknown,unknown
P28656;Q78ZA7,unknown,unknown
P28658,unknown,unknown
P28659,unknown,unknown
P28659;Q9Z0H4,unknown,unknown
P28660,unknown,unknown
P28661,unknown,unknown
P28662,unknown,unknown
P28665,unknown,unknown
P28667,unknown,unknown
P28705,unknown,unknown
P28740,unknown,unknown
P28798,unknown,unknown
P28828,unknown,unknown
P28843,unknown,unknown
P28867,unknown,unknown
P29268,unknown,unknown
P29341,unknown,unknown
P29387,unknown,unknown
P29387;P62874;P62880,unknown,unknown
P29387;P62874;P62880;Q61011,unknown,unknown
P29387;P62880,unknown,unknown
P29391,unknown,unknown
P29416,unknown,unknown
P29533,unknown,unknown
P29699,unknown,unknown
P29758,unknown,unknown
P29788,unknown,unknown
P30115,unknown,unknown
P30275,unknown,unknown
P30275;Q6P8J7,unknown,unknown
P30285,unknown,unknown
P30355,unknown,unknown
P30412,unknown,unknown
P30416,unknown,unknown
P30681,unknown,unknown
P30681;P63158,unknown,unknown
P30993,unknown,unknown
P30999,unknown,unknown
P31001,ST_1,ST_1
P31230,unknown,unknown
P31324,unknown,unknown
P31428,unknown,unknown
P31532,unknown,unknown
P31725,unknown,unknown
P31750,unknown,unknown
P31750;Q60823,unknown,unknown
P31786,unknown,unknown
P31809,unknown,unknown
P31938,unknown,unknown
P31938;Q63932,unknown,unknown
P31996,unknown,unknown
P32020,unknown,unknown
P32037,unknown,unknown
P32067,unknown,unknown
P32233,unknown,unknown
P32261,unknown,unknown
P32507,unknown,unknown
P32883,unknown,unknown
P32883;Q61411,unknown,unknown
P32921,unknown,unknown
P33622,unknown,unknown
P34022,CYTO_1,CYTO_1
P34152,unknown,unknown
P34884,unknown,unknown
P34914,unknown,unknown
P34928,unknown,unknown
P35123,unknown,unknown
P35123;Q8R5H1,unknown,unknown
P35235,unknown,unknown
P35278,unknown,unknown
P35278;P61021;Q9CQD1,unknown,unknown
P35279,unknown,unknown
P35282,unknown,unknown
P35283,unknown,unknown
P35285,unknown,unknown
P35285;Q921E2,unknown,unknown
P35288,unknown,unknown
P35290,unknown,unknown
P35293,unknown,unknown
P35330,unknown,unknown
P35385,unknown,unknown
P35441,unknown,unknown
P35486,unknown,unknown
P35505,unknown,unknown
P35564,ER_2,ER_2
P35585,unknown,unknown
P35700,unknown,unknown
P35762,unknown,unknown
P35802,unknown,unknown
P35821,unknown,unknown
P35831,unknown,unknown
P35979,RCX_1,RCX_1
P35980,RCX_1,RCX_1
P36371,unknown,unknown
P36423,unknown,unknown
P36536,unknown,unknown
P36536;Q9CQC9,unknown,unknown
P36552,unknown,unknown
P36916,unknown,unknown
P36993,unknown,unknown
P36993;P49443,unknown,unknown
P37040,unknown,unknown
P37804,unknown,unknown
P37889,unknown,unknown
P38060,unknown,unknown
P38647,unknown,unknown
P39053,unknown,unknown
P39053;P39054,unknown,unknown
P39053;P39054;Q8BZ98,unknown,unknown
P39054,unknown,unknown
P39054;Q8BZ98,unknown,unknown
P39061,unknown,unknown
P39447,unknown,unknown
P39655,unknown,unknown
P39688,unknown,unknown
P39688;Q04736,unknown,unknown
P39876,unknown,unknown
P40124,unknown,unknown
P40124;Q9CYT6,unknown,unknown
P40142,unknown,unknown
P40237,unknown,unknown
P40240,unknown,unknown
P40336,GE_1,GE_1
P40336;Q8C0E2,unknown,unknown
P40630,unknown,unknown
P40936,CYTO_1,CYTO_1
P41105,RCX_1,RCX_1
P41216,unknown,unknown
P41241,unknown,unknown
P41317,unknown,unknown
P41731,GE_1,GE_1
P42125,MITO_2,MITO_2
P42208,unknown,unknown
P42225,unknown,unknown
P42227,unknown,unknown
P42230,unknown,unknown
P42230;P42232,unknown,unknown
P42232,unknown,unknown
P42567,unknown,unknown
P42669,unknown,unknown
P42703,unknown,unknown
P42859,unknown,unknown
P42925,PERO_1,PERO_1
P42932,unknown,unknown
P43023,unknown,unknown
P43024,unknown,unknown
P43025,unknown,unknown
P43274,NU_1,NU_1
P43275,NU_1,NU_1
P43276,NU_1,NU_1
P43277,NU_1,NU_1
P43406,CM_1,CM_1
P43883,unknown,unknown
P45376,CYTO_1,CYTO_1
P45377,unknown,unknown
P45591,unknown,unknown
P45878,ER_1,ER_1
P45952,unknown,unknown
P46061,unknown,unknown
P46096,unknown,unknown
P46412,unknown,unknown
P46414,unknown,unknown
P46460,unknown,unknown
