Protein.Group,Markers,markers
P62830,RCX_1,RCX_1
P62835,unknown,unknown
P62835;Q99JI6,unknown,unknown
P62843,RCX_2,RCX_2
P62849,unknown,unknown
P62852,RCX_2,RCX_2
P62855,RCX_2,RCX_2
P62858,unknown,unknown
P62862,unknown,unknown
P62869,unknown,unknown
P62874,unknown,unknown
P62874;P62880,unknown,unknown
P62874;P62880;Q61011,unknown,unknown
P62878,unknown,unknown
P62880,unknown,unknown
P62881,unknown,unknown
P62889,RCX_1,RCX_1
P62892,unknown,unknown
P62897,unknown,unknown
P62900,RCX_1,RCX_1
P62908,RCX_2,RCX_2
P62911,RCX_1,RCX_1
P62918,RCX_1,RCX_1
P62932,unknown,unknown
P62960,unknown,unknown
P62960;Q9JKB3;Q9Z2C8,unknown,unknown
P62962,unknown,unknown
P62983,unknown,unknown
P62996,unknown,unknown
P63001,unknown,unknown
P63001;Q05144,unknown,unknown
P63005,unknown,unknown
P63011,unknown,unknown
P63017,unknown,unknown
P63024,unknown,unknown
P63024;P63044,unknown,unknown
P63028,unknown,unknown
P63030,unknown,unknown
P63037,unknown,unknown
P63038,unknown,unknown
P63044,unknown,unknown
P63073,unknown,unknown
P63082,unknown,unknown
P63085,unknown,unknown
P63085;Q63844,unknown,unknown
P63087,unknown,unknown
P63094;Q6R0H7,unknown,unknown
P63101,unknown,unknown
P63147,unknown,unknown
P63154,unknown,unknown
P63158,unknown,unknown
P63166,unknown,unknown
P63168,unknown,unknown
P63168;Q9D0M5,unknown,unknown
P63213,unknown,unknown
P63242,unknown,unknown
P63254,unknown,unknown
P63268,unknown,unknown
P63268;P68134,unknown,unknown
P63268;P68134;Q8BFZ3,unknown,unknown
P63271;Q9Z199,unknown,unknown
P63276,RCX_2,RCX_2
P63280,unknown,unknown
P63321,unknown,unknown
P63321;Q9JIW9,unknown,unknown
P63323,unknown,unknown
P63325,RCX_2,RCX_2
P63328,unknown,unknown
P63330,unknown,unknown
P67778,unknown,unknown
P67871,unknown,unknown
P67984,RCX_1,RCX_1
P68037,unknown,unknown
P68040,unknown,unknown
P68134,unknown,unknown
P68181,unknown,unknown
P68254,unknown,unknown
P68368,unknown,unknown
P68368;P68373,unknown,unknown
P68368;P68373;Q3UX10,unknown,unknown
P68368;P68373;Q3UX10;Q9JJZ2,unknown,unknown
P68368;P68373;Q9JJZ2,unknown,unknown
P68372,unknown,unknown
P68372;P99024;Q7TMM9;Q922F4;Q9CWF2;Q9D6F9;Q9ERD7,unknown,unknown
P68372;P99024;Q7TMM9;Q922F4;Q9CWF2;Q9ERD7,unknown,unknown
P68372;P99024;Q7TMM9;Q9CWF2,unknown,unknown
P68372;P99024;Q7TMM9;Q9CWF2;Q9D6F9,unknown,unknown
P68372;P99024;Q7TMM9;Q9CWF2;Q9D6F9;Q9ERD7,unknown,unknown
P68372;P99024;Q9D6F9,unknown,unknown
P68372;P99024;Q9D6F9;Q9ERD7,unknown,unknown
P68372;Q7TMM9;Q9CWF2,unknown,unknown
P68372;Q922F4;Q9D6F9;Q9ERD7,unknown,unknown
P68372;Q9D6F9,unknown,unknown
P68373,unknown,unknown
P68373;Q9JJZ2,unknown,unknown
P68510,unknown,unknown
P69566,unknown,unknown
P69566;Q6VN19,unknown,unknown
P70122,unknown,unknown
P70158,unknown,unknown
P70168,unknown,unknown
P70170,unknown,unknown
P70180,unknown,unknown
P70182,unknown,unknown
P70195,PX_1,PX_1
P70202,unknown,unknown
P70236,unknown,unknown
P70245,unknown,unknown
P70261,unknown,unknown
P70265,unknown,unknown
P70265;P70266,unknown,unknown
P70266,unknown,unknown
P70268,unknown,unknown
P70268;Q8BWW9,unknown,unknown
P70271,unknown,unknown
P70274,unknown,unknown
P70280,unknown,unknown
P70288,unknown,unknown
P70290,unknown,unknown
P70295,unknown,unknown
P70296,unknown,unknown
P70297,unknown,unknown
P70302,unknown,unknown
P70313,unknown,unknown
P70318,unknown,unknown
P70333,unknown,unknown
P70335,unknown,unknown
P70335;P70336,unknown,unknown
P70336,unknown,unknown
P70349,unknown,unknown
P70362,unknown,unknown
P70372,unknown,unknown
P70387,unknown,unknown
P70389,unknown,unknown
P70398,unknown,unknown
P70404,unknown,unknown
P70414,unknown,unknown
P70441,CM_1,CM_1
P70452,unknown,unknown
P70460,unknown,unknown
P70670,unknown,unknown
P70671,unknown,unknown
P70677,unknown,unknown
P70695,unknown,unknown
P70697,CYTO_1,CYTO_1
P70698,unknown,unknown
P70699,unknown,unknown
P70704,unknown,unknown
P80313,unknown,unknown
P80314,unknown,unknown
P80315,unknown,unknown
P80316,unknown,unknown
P80317,unknown,unknown
P80317;Q61390,unknown,unknown
P80318,unknown,unknown
P81117,unknown,unknown
P82198,unknown,unknown
P82343,unknown,unknown
P82347,unknown,unknown
P82348,unknown,unknown
P82349,unknown,unknown
P82350,unknown,unknown
P83510,unknown,unknown
P83741,unknown,unknown
P83741;Q3UH66,unknown,unknown
P83870,NU_2,NU_2
P83877,unknown,unknown
P83882,unknown,unknown
P83887,unknown,unknown
P83917,unknown,unknown
P83940,unknown,unknown
P84084,unknown,unknown
P84091,GE_1,GE_1
P84096,unknown,unknown
P84099,RCX_1,RCX_1
P84104,unknown,unknown
P85094,unknown,unknown
P97287,unknown,unknown
P97290,unknown,unknown
P97298,unknown,unknown
P97300,unknown,unknown
P97314,unknown,unknown
P97315,unknown,unknown
P97328,unknown,unknown
P97333,unknown,unknown
P97346,unknown,unknown
P97350,unknown,unknown
P97351,RCX_2,RCX_2
P97352,unknown,unknown
P97355,unknown,unknown
P97364,unknown,unknown
P97370,CM_1,CM_1
P97371,unknown,unknown
P97372,unknown,unknown
P97379,unknown,unknown
P97379;P97855,unknown,unknown
P97384,unknown,unknown
P97390,GE_1,GE_1
P97411,unknown,unknown
P97414,unknown,unknown
P97427;Q62188,unknown,unknown
P97429,unknown,unknown
P97443,unknown,unknown
P97447,unknown,unknown
P97449,CM_1,CM_1
P97450,unknown,unknown
P97461,RCX_2,RCX_2
P97467,unknown,unknown
P97468,unknown,unknown
P97470,unknown,unknown
P97478,unknown,unknown
P97480,unknown,unknown
P97493,unknown,unknown
P97494,unknown,unknown
P97742,MITO_1,MITO_1
P97742;Q924X2,unknown,unknown
P97760,NU_2,NU_2
P97765,unknown,unknown
P97770,unknown,unknown
P97789,unknown,unknown
P97792,unknown,unknown
P97797,CM_1,CM_1
P97807,unknown,unknown
P97819,unknown,unknown
P97820,unknown,unknown
P97821,unknown,unknown
P97822,unknown,unknown
P97823,unknown,unknown
P97825,unknown,unknown
P97855,unknown,unknown
P97863,unknown,unknown
P97865,unknown,unknown
P97872,unknown,unknown
P97927,unknown,unknown
P97930,unknown,unknown
P98078,unknown,unknown
P98086,unknown,unknown
P98156,unknown,unknown
P98192,PERO_1,PERO_1
P98197,unknown,unknown
P99024,unknown,unknown
P99024;Q7TMM9;Q9CWF2;Q9ERD7,unknown,unknown
P99026,PX_1,PX_1
P99027,RCX_1,RCX_1
P99028,unknown,unknown
P99029,unknown,unknown
Q00262,unknown,unknown
Q00422,unknown,unknown
Q00519,unknown,unknown
Q00558,unknown,unknown
Q00560,unknown,unknown
Q00612,CYTO_1,CYTO_1
Q00623,unknown,unknown
Q00724,unknown,unknown
Q00897,unknown,unknown
Q00898,unknown,unknown
Q00915,unknown,unknown
Q00993,unknown,unknown
Q00PI9,unknown,unknown
Q01149,unknown,unknown
Q01279,unknown,unknown
Q01339,unknown,unknown
Q01341,CM_1,CM_1
Q01405,unknown,unknown
Q01405;Q9D662,unknown,unknown
Q01730,unknown,unknown
Q01768,unknown,unknown
Q01815,unknown,unknown
Q01853,unknown,unknown
Q02013,unknown,unknown
Q02053,unknown,unknown
Q02105,unknown,unknown
Q02111,unknown,unknown
Q02248,unknown,unknown
Q02248;Q02257,unknown,unknown
Q02257,unknown,unknown
Q02357,unknown,unknown
Q02566,unknown,unknown
Q02566;Q91Z83,unknown,unknown
Q02788,unknown,unknown
Q02819,unknown,unknown
Q02858,unknown,unknown
Q03137,unknown,unknown
Q03141,unknown,unknown
Q03249,unknown,unknown
Q03265,unknown,unknown
Q03311,unknown,unknown
Q03734,unknown,unknown
Q03734;Q91WP6,unknown,unknown
Q03958,unknown,unknown
Q04207,unknown,unknown
Q04447,unknown,unknown
Q04519,unknown,unknown
Q04736,unknown,unknown
Q04750;Q8R4U6,unknown,unknown
Q04857,unknown,unknown
Q05144,unknown,unknown
Q05186,ER_1,ER_1
Q05421,unknown,unknown
Q05512,unknown,unknown
Q05685,unknown,unknown
Q05793,unknown,unknown
Q05816,CYTO_1,CYTO_1
Q05920,unknown,unknown
Q05BC3,unknown,unknown
Q05CL8,unknown,unknown
Q05D44,unknown,unknown
Q06138,unknown,unknown
Q06138;Q9DB16,unknown,unknown
Q06185,MITO_1,MITO_1
Q06335,unknown,unknown
Q06770,unknown,unknown
Q06890,unknown,unknown
Q07076,unknown,unknown
Q07113,GE_1,GE_1
Q07235,unknown,unknown
Q07417,unknown,unknown
Q07456,unknown,unknown
Q07797,unknown,unknown
Q07813,unknown,unknown
Q07968,unknown,unknown
Q08024,unknown,unknown
Q08091,unknown,unknown
Q08093,unknown,unknown
Q08093;Q9DAW9,unknown,unknown
Q08122,unknown,unknown
Q08288,unknown,unknown
Q08481,unknown,unknown
Q08509,unknown,unknown
Q08857,unknown,unknown
Q08879,unknown,unknown
Q08943,unknown,unknown
Q08AU7,unknown,unknown
Q0II04,unknown,unknown
Q0KL02,unknown,unknown
Q0VAW6,unknown,unknown
Q0VBK2,unknown,unknown
Q0VG49,unknown,unknown
Q0VGB7,unknown,unknown
Q11011,unknown,unknown
Q11136,unknown,unknown
Q148V7,unknown,unknown
Q149B8,unknown,unknown
Q14B01,unknown,unknown
Q14BI5,unknown,unknown
Q14C51,unknown,unknown
Q14CH7,unknown,unknown
Q14DQ1,unknown,unknown
Q18PE0,unknown,unknown
Q19LI2,unknown,unknown
Q1ERP8,unknown,unknown
Q1HFZ0,unknown,unknown
Q1XH17,unknown,unknown
Q2NL51,unknown,unknown
Q2NL51;Q9WV60,unknown,unknown
Q2TBE6,GE_1,GE_1
Q2TPA8,unknown,unknown
Q2VLH6,CM_1,CM_1
Q2YDW2,unknown,unknown
Q3B7Z2,unknown,unknown
Q3B7Z2;Q5QNQ6,unknown,unknown
Q3KNM2,unknown,unknown
Q3T9E4;Q62293,unknown,unknown
Q3TAS6,unknown,unknown
Q3TB82,unknown,unknown
Q3TBW2,MITO_3,MITO_3
Q3TC33,unknown,unknown
Q3TC93,unknown,unknown
Q3TCH7,unknown,unknown
Q3TCJ1,unknown,unknown
Q3TCJ8,unknown,unknown
Q3TDN2,unknown,unknown
Q3TDQ1,ER_2,ER_2
Q3TE80,unknown,unknown
Q3TEA8,NU_1,NU_1
Q3TFQ1,unknown,unknown
Q3TGS7;Q3V2H3;Q6ZWQ5,unknown,unknown
Q3THG9,unknown,unknown
Q3THJ3,unknown,unknown
Q3THK3,unknown,unknown
Q3THK7,unknown,unknown
Q3THS6,unknown,unknown
Q3TIR1,unknown,unknown
Q3TIR3,unknown,unknown
Q3TIU4,unknown,unknown
Q3TIV5,unknown,unknown
Q3TIV9,unknown,unknown
Q3TIX9,unknown,unknown
Q3TJD7,unknown,unknown
Q3TJZ6,unknown,unknown
Q3TJZ6;Q80VD1,unknown,unknown
Q3TL26,unknown,unknown
Q3TL44,unknown,unknown
Q3TLH4,unknown,unknown
Q3TLI0,unknown,unknown
Q3TLP5,unknown,unknown
Q3TMH2,unknown,unknown
Q3TMP8,ER_2,ER_2
Q3TPE9,unknown,unknown
Q3TPX4,unknown,unknown
Q3TQB2,unknown,unknown
Q3TS02;Q3V117,unknown,unknown
Q3TTY5,unknown,unknown
Q3TUH1,unknown,unknown
Q3TVI8,unknown,unknown
Q3TW96,unknown,unknown
Q3TW96;Q6P549,unknown,unknown
Q3TW96;Q91YN5,unknown,unknown
Q3TWI9,unknown,unknown
Q3TWL2,unknown,unknown
Q3TX08,unknown,unknown
Q3TXS7,PX_1,PX_1
Q3TXU5,unknown,unknown
Q3TYS2,unknown,unknown
Q3TYX3,unknown,unknown
Q3TZ89,unknown,unknown
Q3TZW0,unknown,unknown
Q3TZX3,unknown,unknown
Q3TZX8,unknown,unknown
Q3TZZ7,unknown,unknown
Q3U0B3,unknown,unknown
Q3U0M1,unknown,unknown
Q3U0S6,unknown,unknown
Q3U0V1,unknown,unknown
Q3U0V1;Q91WJ8,unknown,unknown
Q3U0V2,unknown,unknown
Q3U186,unknown,unknown
Q3U1J4,unknown,unknown
Q3U1V6,unknown,unknown
Q3U213,unknown,unknown
Q3U276,unknown,unknown
Q3U2A8,MITO_2,MITO_2
Q3U2G2,unknown,unknown
Q3U2I3,unknown,unknown
Q3U2P1,unknown,unknown
Q3U2U7,unknown,unknown
Q3U308,unknown,unknown
Q3U3J1,unknown,unknown
Q3U3R4,ER_2,ER_2
Q3U3W5,unknown,unknown
Q3U422,unknown,unknown
Q3U487,unknown,unknown
Q3U5F4,unknown,unknown
Q3U5Q7,unknown,unknown
Q3U7R1,unknown,unknown
Q3U7U3,unknown,unknown
Q3U9G9,unknown,unknown
Q3UBX0,unknown,unknown
Q3UCV8,unknown,unknown
Q3UDE2,unknown,unknown
Q3UDP0,unknown,unknown
Q3UE37,unknown,unknown
Q3UE92;S4R1I3,unknown,unknown
Q3UEB3,unknown,unknown
Q3UFF7,unknown,unknown
Q3UFK8,unknown,unknown
Q3UFY7,unknown,unknown
Q3UFY8,unknown,unknown
Q3UG98,unknown,unknown
Q3UGC7;Q66JS6,unknown,unknown
Q3UGR5,unknown,unknown
Q3UH60,unknown,unknown
Q3UH66,unknown,unknown
Q3UH68,unknown,unknown
Q3UHB1,unknown,unknown
Q3UHD2,unknown,unknown
Q3UHD3,unknown,unknown
Q3UHD6,unknown,unknown
Q3UHI0,unknown,unknown
Q3UHJ0,unknown,unknown
Q3UHQ6,unknown,unknown
Q3UHX2,unknown,unknown
Q3UHZ5,unknown,unknown
Q3UI43,unknown,unknown
Q3UIA2,unknown,unknown
Q3UIJ9,unknown,unknown
Q3UIR3,unknown,unknown
Q3UIU2,unknown,unknown
Q3UIZ8,unknown,unknown
Q3UIZ8;Q8VCR8,unknown,unknown
Q3UJB0,unknown,unknown
Q3UJB9,unknown,unknown
Q3UJD6,unknown,unknown
Q3UJU9,unknown,unknown
Q3UKJ7,unknown,unknown
Q3ULD5,unknown,unknown
Q3ULF4,unknown,unknown
Q3ULJ0,unknown,unknown
Q3ULW8,unknown,unknown
Q3UM29,unknown,unknown
Q3UM45,unknown,unknown
Q3UMB9,unknown,unknown
Q3UMC0,unknown,unknown
Q3UMF0,unknown,unknown
Q3UMR5,unknown,unknown
Q3UMT1,unknown,unknown
Q3UMU9,unknown,unknown
Q3UMW7,unknown,unknown
Q3UMY5,unknown,unknown
Q3UN02,unknown,unknown
Q3UN88,unknown,unknown
Q3UN90,unknown,unknown
Q3UPF5,unknown,unknown
Q3UPH1,unknown,unknown
Q3UPL0,unknown,unknown
Q3UQ28,unknown,unknown
Q3UQ44;Q9JKF1,unknown,unknown
Q3UQ84,unknown,unknown
Q3UQN2,unknown,unknown
Q3UQS8,unknown,unknown
Q3URD3,unknown,unknown
Q3URE1,unknown,unknown
Q3URS9,unknown,unknown
Q3USB7,unknown,unknown
Q3UTJ2,unknown,unknown
Q3UTJ2;Q62417,unknown,unknown
Q3UU96,unknown,unknown
Q3UU96;Q7TT50,unknown,unknown
Q3UUG6,unknown,unknown
Q3UUI3,unknown,unknown
Q3UV17,unknown,unknown
Q3UV70,unknown,unknown
Q3UVK0,unknown,unknown
Q3UW53,unknown,unknown
Q3UX10,unknown,unknown
Q3UX10;Q9JJZ2,unknown,unknown
Q3UYI5,unknown,unknown
Q3UYV9,unknown,unknown
Q3UZA1,unknown,unknown
Q3UZP4,unknown,unknown
Q3V009,unknown,unknown
Q3V0K9;Q61233;Q99K51,unknown,unknown
Q3V0K9;Q99K51,unknown,unknown
Q3V1L4,unknown,unknown
Q3V1T4,unknown,unknown
Q3V384,unknown,unknown
Q3V3A7,unknown,unknown
Q3V3Q7;Q8K212,unknown,unknown
Q3V3R4,unknown,unknown
Q3V460,unknown,unknown
Q499X9,unknown,unknown
Q4ACU6,unknown,unknown
Q4JIM5,unknown,unknown
Q4KML4,unknown,unknown
Q4KMM3,unknown,unknown
Q4LDD4,unknown,unknown
Q4PJX1,unknown,unknown
Q4PZA2,unknown,unknown
Q4U4S6,unknown,unknown
Q4VA53,unknown,unknown
Q4VA93,unknown,unknown
Q4VAA2,unknown,unknown
Q4VAE3,unknown,unknown
Q4VBD2,unknown,unknown
Q4VBE8,unknown,unknown
Q4VC33,unknown,unknown
Q4ZJN1,unknown,unknown
Q501J2,unknown,unknown
Q501J6,unknown,unknown
Q501J6;Q61656,unknown,unknown
Q501J6;Q61656;Q62095;Q62167,unknown,unknown
Q501J7,unknown,unknown
Q504M2,unknown,unknown
Q505B7,unknown,unknown
Q505D1,unknown,unknown
Q505D7,unknown,unknown
Q505F5,unknown,unknown
Q52KR3,unknown,unknown
Q566J8,unknown,unknown
Q569Z5,unknown,unknown
Q569Z6,unknown,unknown
Q571I9,unknown,unknown
Q58A65,unknown,unknown
Q58A65;Q9ESN9,unknown,unknown
Q59J78,unknown,unknown
Q5BKP2,unknown,unknown
Q5BLK4,unknown,unknown
Q5DTJ9,unknown,unknown
Q5EBG6,unknown,unknown
Q5EG47,unknown,unknown
Q5EG47;Q8BRK8,unknown,unknown
Q5F285,unknown,unknown
Q5F2E7,unknown,unknown
Q5FW52,unknown,unknown
Q5FW53,unknown,unknown
Q5FWI3,unknown,unknown
Q5FWK3,unknown,unknown
Q5GIG6,unknown,unknown
Q5H8C4,unknown,unknown
Q5H8C4;Q8BX70,unknown,unknown
Q5HZI1,unknown,unknown
Q5HZI9,unknown,unknown
Q5I012,unknown,unknown
Q5I043,unknown,unknown
Q5I1X5,unknown,unknown
Q5IRJ6,unknown,unknown
Q5M8N0,unknown,unknown
Q5M8N4,unknown,unknown
Q5NCE8,unknown,unknown
Q5NCF2,unknown,unknown
Q5NCI0,unknown,unknown
Q5ND29,unknown,unknown
Q5ND34,unknown,unknown
Q5ND52,unknown,unknown
Q5PRF0,unknown,unknown
Q5QNQ6,unknown,unknown
Q5RKN9,unknown,unknown
Q5RKZ7,unknown,unknown
Q5RL20,unknown,unknown
Q5RL79,unknown,unknown
Q5SF07,unknown,unknown
Q5SRX1,unknown,unknown
Q5SRY7,unknown,unknown
Q5SSH7,unknown,unknown
Q5SSK3,unknown,unknown
Q5SSL4,unknown,unknown
Q5SSW2,PX_1,PX_1
Q5SSZ5,unknown,unknown
Q5SSZ5;Q8CGB6,unknown,unknown
Q5SUC9,unknown,unknown
Q5SUE8,unknown,unknown
Q5SUF2,unknown,unknown
Q5SUH6,unknown,unknown
Q5SUR0,unknown,unknown
Q5SV85,unknown,unknown
Q5SVL6,unknown,unknown
Q5SVR0,unknown,unknown
Q5SW19,unknown,unknown
Q5SWD9,unknown,unknown
Q5SWT3,unknown,unknown
Q5SWU9,unknown,unknown
Q5SYD0,unknown,unknown
Q5U3K5,unknown,unknown
Q5U430,unknown,unknown
Q5U458,unknown,unknown
Q5U4D9,unknown,unknown
Q5U5M8,unknown,unknown
Q5XG71,unknown,unknown
Q5XG73,PERO_1,PERO_1
Q5XJY4,unknown,unknown
Q5XJY5,unknown,unknown
Q5XKN4,unknown,unknown
Q5XPI3,unknown,unknown
Q60575,unknown,unknown
Q60590,unknown,unknown
Q60592,unknown,unknown
Q60597,unknown,unknown
Q60598,unknown,unknown
Q60605,unknown,unknown
Q60631,unknown,unknown
Q60634,unknown,unknown
Q60649,unknown,unknown
Q60668,unknown,unknown
Q60668;Q9Z130,unknown,unknown
Q60675,ST_1,ST_1
Q60676,unknown,unknown
Q60680,unknown,unknown
Q60692,PX_1,PX_1
Q60710,unknown,unknown
Q60714,unknown,unknown
Q60714;Q91VE0,unknown,unknown
Q60715,unknown,unknown
Q60716,unknown,unknown
Q60737,unknown,unknown
Q60739,unknown,unknown
Q60749,NU_2,NU_2
Q60759,unknown,unknown
Q60760,unknown,unknown
Q60766,unknown,unknown
Q60770,unknown,unknown
Q60790,unknown,unknown
Q60823,CP_1,CP_1
Q60829,unknown,unknown
Q60854,unknown,unknown
Q60864,unknown,unknown
Q60865,unknown,unknown
Q60866,unknown,unknown
Q60870,unknown,unknown
Q60872,unknown,unknown
Q60875,unknown,unknown
Q60876,unknown,unknown
Q60902,unknown,unknown
Q60930,MITO_1,MITO_1
Q60931,MITO_1,MITO_1
Q60932,unknown,unknown
Q60935,unknown,unknown
Q60936,unknown,unknown
Q60949,unknown,unknown
Q60949;Q8BYJ6,unknown,unknown
Q60953,unknown,unknown
Q60960,unknown,unknown
Q60967,unknown,unknown
Q60972,unknown,unknown
Q60972;Q60973,unknown,unknown
Q60973,unknown,unknown
Q60994,unknown,unknown
Q60996,unknown,unknown
Q60996;Q61151;Q6PD28,unknown,unknown
Q61001,unknown,unknown
Q61011,unknown,unknown
Q61029,NU_1,NU_1
Q61029;Q61033,unknown,unknown
Q61035,unknown,unknown
Q61035;Q99KK9,unknown,unknown
Q61037,unknown,unknown
Q61062,unknown,unknown
Q61070,unknown,unknown
Q61072,unknown,unknown
Q61074,unknown,unknown
Q61081,unknown,unknown
Q61093,unknown,unknown
Q61102,MITO_1,MITO_1
Q61107,unknown,unknown
Q61107;Q91Z40,unknown,unknown
Q61129,unknown,unknown
Q61133,unknown,unknown
Q61133;Q99L20,unknown,unknown
Q61136,unknown,unknown
Q61144,unknown,unknown
Q61147,unknown,unknown
Q61151,unknown,unknown
Q61151;Q6PD03,unknown,unknown
Q61160,unknown,unknown
Q61165,unknown,unknown
Q61166,unknown,unknown
Q61166;Q6PER3,unknown,unknown
Q61166;Q8R001,unknown,unknown
Q61171,unknown,unknown
Q61176,unknown,unknown
Q61187,unknown,unknown
Q61193,unknown,unknown
Q61194,unknown,unknown
Q61206,unknown,unknown
Q61207,unknown,unknown
Q61210,unknown,unknown
Q61233,unknown,unknown
Q61233;Q99K51,unknown,unknown
Q61234,unknown,unknown
Q61234;Q61235;Q99L88,unknown,unknown
Q61235,unknown,unknown
Q61239,unknown,unknown
Q61247,unknown,unknown
Q61249,unknown,unknown
Q61292,ST_1,ST_1
Q61301,unknown,unknown
Q61316,unknown,unknown
Q61335,unknown,unknown
Q61387,unknown,unknown
Q61390,unknown,unknown
Q61391,unknown,unknown
Q61398,unknown,unknown
Q61411,unknown,unknown
Q61414,unknown,unknown
Q61425,unknown,unknown
Q61462,unknown,unknown
Q61475,CM_1,CM_1
Q61495;Q7TSF1,unknown,unknown
Q61503,unknown,unknown
Q61508,unknown,unknown
Q61510,unknown,unknown
Q61543,unknown,unknown
Q61545,unknown,unknown
Q61548,unknown,unknown
Q61548;Q7M6Y3,unknown,unknown
Q61553,unknown,unknown
Q61554,unknown,unknown
Q61554;Q61555,unknown,unknown
Q61555,unknown,unknown
Q61559,unknown,unknown
Q61576,unknown,unknown
Q61578,unknown,unknown
Q61584,unknown,unknown
Q61584;Q9WVR4,unknown,unknown
Q61586,unknown,unknown
Q61595,ER_2,ER_2
Q61598,unknown,unknown
Q61599,unknown,unknown
Q61635,unknown,unknown
Q61646,unknown,unknown
Q61647,unknown,unknown
Q61655,unknown,unknown
Q61656,unknown,unknown
Q61672,unknown,unknown
Q61699,unknown,unknown
Q61702,unknown,unknown
Q61703,unknown,unknown
Q61704,unknown,unknown
Q61730,unknown,unknown
Q61733,unknown,unknown
Q61735,CM_1,CM_1
Q61738,unknown,unknown
Q61739,unknown,unknown
Q61743,unknown,unknown
Q61749,unknown,unknown
Q61753,unknown,unknown
Q61765,unknown,unknown
Q61768,unknown,unknown
Q61771,unknown,unknown
Q61781,unknown,unknown
Q61781;Q6IFX2,unknown,unknown
Q61781;Q6IFX2;Q9QWL7,unknown,unknown
Q61781;Q6IFX2;Q9QWL7;Q9Z2K1,unknown,unknown
Q61781;Q6IFX2;Q9Z2K1,unknown,unknown
Q61781;Q9QWL7,unknown,unknown
Q61792,unknown,unknown
Q61823,unknown,unknown
Q61830,unknown,unknown
Q61838,unknown,unknown
Q61879,unknown,unknown
Q61879;Q8VDD5,unknown,unknown
Q61937,unknown,unknown
Q61941,unknown,unknown
Q61990,unknown,unknown
Q62000,unknown,unknown
Q62009,unknown,unknown
Q62048,unknown,unknown
Q62059,unknown,unknown
Q62077,unknown,unknown
Q62083,unknown,unknown
Q62084,unknown,unknown
Q62086,unknown,unknown
Q62087,unknown,unknown
Q62093,NU_2,NU_2
Q62095,unknown,unknown
Q62095;Q62167,unknown,unknown
Q62147,CM_1,CM_1
Q62148,unknown,unknown
Q62148;Q9CZS1,unknown,unknown
Q62159,unknown,unknown
Q62159;Q9QUI0,unknown,unknown
Q62165,unknown,unknown
Q62167,unknown,unknown
Q62179,unknown,unknown
Q62186,ER_2,ER_2
Q62188,unknown,unknown
Q62189,unknown,unknown
Q62203,unknown,unknown
Q62219,unknown,unknown
Q62230,unknown,unknown
Q62234,ST_1,ST_1
Q62241,unknown,unknown
Q62261,unknown,unknown
Q62277,unknown,unknown
Q62283,unknown,unknown
Q62318,unknown,unknown
Q62348,unknown,unknown
Q62351,unknown,unknown
Q62376,unknown,unknown
Q62383,unknown,unknown
Q62384,unknown,unknown
Q62393,unknown,unknown
Q62406,unknown,unknown
Q62407,unknown,unknown
Q62417,unknown,unknown
Q62418,unknown,unknown
Q62419,unknown,unknown
Q62422,unknown,unknown
Q62425,unknown,unknown
Q62426,unknown,unknown
Q62432,unknown,unknown
Q62433,unknown,unknown
Q62446,unknown,unknown
Q62448,unknown,unknown
Q62465,unknown,unknown
Q62469,unknown,unknown
Q62523,unknown,unknown
Q63810,unknown,unknown
Q63844,unknown,unknown
Q63918,unknown,unknown
Q63932,unknown,unknown
Q63961,unknown,unknown
Q64010,unknown,unknown
Q64012,unknown,unknown
Q64105,unknown,unknown
Q64112,unknown,unknown
Q64133,unknown,unknown
Q64152,unknown,unknown
Q641K1,unknown,unknown
Q64213,unknown,unknown
Q64261,unknown,unknown
Q64291,unknown,unknown
Q64310,unknown,unknown
Q64314,CM_1,CM_1
Q64324,unknown,unknown
Q64331,unknown,unknown
Q64332,unknown,unknown
Q64337,unknown,unknown
Q64338,unknown,unknown
Q64339,unknown,unknown
Q64345,unknown,unknown
Q64374,unknown,unknown
Q64378,unknown,unknown
Q64433,MITO_2,MITO_2
Q64442,unknown,unknown
Q64444,unknown,unknown
Q64449,unknown,unknown
Q64455,unknown,unknown
Q64462,unknown,unknown
Q64467,unknown,unknown
Q64471,unknown,unknown
Q64511,unknown,unknown
Q64514,unknown,unknown
Q64516,unknown,unknown
Q64518,unknown,unknown
Q64520,unknown,unknown
Q64521,unknown,unknown
Q64669,CYTO_1,CYTO_1
Q64674,unknown,unknown
Q64726,unknown,unknown
Q64727,CP_1,CP_1
Q64735,CM_1,CM_1
Q64737,unknown,unknown
Q65CL1,unknown,unknown
Q66GT5,unknown,unknown
Q66JZ4,unknown,unknown
Q689Z5,unknown,unknown
Q68EF0,unknown,unknown
Q68FD5,unknown,unknown
Q68FE2,unknown,unknown
Q68FE6,unknown,unknown
Q68FF6,unknown,unknown
Q68FF6;Q9JLQ2,unknown,unknown
Q68FH4,unknown,unknown
Q68FL4,unknown,unknown
Q68FL4;Q80SW1,unknown,unknown
Q68FL6,unknown,unknown
Q69Z23,unknown,unknown
Q69ZN7,unknown,unknown
Q69ZN7;Q9ESD7,unknown,unknown
Q69ZQ2,unknown,unknown
Q69ZR2,unknown,unknown
Q69ZS7,unknown,unknown
Q69ZW3,unknown,unknown
Q69ZW3;Q99MS7,unknown,unknown
Q69ZZ9,unknown,unknown
